Artifact,,Keyword completeness (0-4),,,,,Code Samples (0/0.5/1),Stack Traces (0/0.5/1),Patches (0/1),Readability(Before Normalization),Readability(0-2),Structure (0/1),TOTAL(10),
,OpenAI Simple Prompt,1,0,1,1,0,1,1,1,27.95,1,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,12.02,0.5,1,8.5,
owlcs-owlapi-228471368,Gemini Simple Prompt,1,1,1,0,1,1,0,1,36.92,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,20.74,1,1,8.5,
,OpenAI Simple Prompt,1,0,1,1,1,0.5,0,1,16.84,0.5,1,6,
,OpenAI Smart Prompt,0,1,1,1,1,1,0,1,12.3,0.5,1,7.5,
raphw-byte-buddy-188079236,Gemini Simple Prompt,1,1,1,0,1,0.5,0,1,64.7,2,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,0.5,67.24,2,1,9,
,OpenAI Simple Prompt,1,1,1,1,0,0,0,1,60.72,2,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,1,1,50.76,1.5,1,9,
weibocom-rill-flow-30370135146,Gemini Simple Prompt,1,1,1,1,1,1,0.5,1,51.83,1.5,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,47.53,1.5,1,9.5,
,OpenAI Simple Prompt,1,0,0,1,1,0,1,1,44.6,1.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,1,1,46.28,1.5,1,9,
UniversalMediaServer-UniversalMediaServer-231698146,Gemini Simple Prompt,1,1,1,1,1,1,1,1,28.75,1,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,30.6,1,1,9,
,OpenAI Simple Prompt,1,1,1,1,1,1,0,1,21.24,1,1,8,
,OpenAI Smart Prompt,0,1,1,1,1,1,0.5,1,25.94,1,1,8.5,
raphw-byte-buddy-93361745,Gemini Simple Prompt,1,1,1,1,1,0,0,1,58.99,2,1,8,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,62.04,2,1,10,
,OpenAI Simple Prompt,1,0,0,1,1,0,0,1,53.22,1.5,1,5.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0.5,1,42.25,1.5,1,9,
square-okhttp-45582449,Gemini Simple Prompt,1,1,1,0,1,0,0,1,59.48,2,1,7,"No Code diff, 404, inactive"
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,1,61.08,2,1,9.5,
,OpenAI Simple Prompt,1,0,1,1,1,0,0,1,56.41,2,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,0,1,52,1.5,1,8,
MarginallyClever-Makelangelo-software-35126825676,Gemini Simple Prompt,1,1,1,1,1,1,1,1,20.3,1,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,9.94,0.5,1,8.5,
,OpenAI Simple Prompt,1,0,0,1,1,1,1,1,19.24,0.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,15.92,0.5,1,8.5,
wmixvideo-nfe-150897092,Gemini Simple Prompt,1,1,1,1,1,0,0,1,51.93,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,1,41.86,1.5,1,9,
,OpenAI Simple Prompt,1,1,1,1,1,0,0,1,56.79,2,1,8,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,1,1,37.27,1.5,1,9,
checkstyle-checkstyle-77722343,Gemini Simple Prompt,1,1,1,1,1,1,1,0,60.35,2,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,0,1,62.86,2,1,9,
,OpenAI Simple Prompt,1,1,1,1,1,1,0,1,47.71,1.5,1,8.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0,1,45.76,1.5,1,8.5,
GoldenGnu-jeveassets-35134166888,Gemini Simple Prompt,1,1,1,1,1,0,0,0,49.08,1.5,1,6.5,
,Gemini Smart Prompt,1,1,1,1,1,1,1,0,8.75,0.5,1,7.5,
,OpenAI Simple Prompt,1,1,1,1,1,0.5,0,0,37.74,1.5,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,0,35.35,1,1,8,
SeaOfNodes-Simple-41917905320,Gemini Simple Prompt,1,1,1,1,1,0.5,1,0,66.36,2,1,8.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,25.46,1,1,9,
,OpenAI Simple Prompt,1,1,1,1,1,1,0,1,54.36,2,1,9,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,47.88,1.5,1,9.5,
belluccifranco-sic-212962406,Gemini Simple Prompt,1,1,1,1,1,1,0,0,50.95,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,27.99,1,1,9,
,OpenAI Simple Prompt,1,1,1,1,1,1,0,1,48.33,1.5,1,8.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,28.96,1,1,9,
owlcs-owlapi-226288775,Gemini Simple Prompt,1,1,1,1,1,0,0,0,52.06,1.5,1,6.5,
,Gemini Smart Prompt,0,1,1,1,1,0.5,0,0,37.23,1.5,1,7,
,OpenAI Simple Prompt,1,0,1,1,1,0,0,0,45.44,1.5,1,5.5,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,0,0,36.89,1.5,1,7,
checkstyle-checkstyle-270800485,Gemini Simple Prompt,1,1,1,1,1,0,1,0,48.39,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,0,38.55,1.5,1,8,
,OpenAI Simple Prompt,1,1,1,1,1,0,1,0,35.01,1,1,7,
,OpenAI Smart Prompt,1,1,1,1,1,0.5,1,0,23.02,1,1,7.5,
SonarSource-sonar-java-352869832,Gemini Simple Prompt,1,1,1,1,1,0,1,0,70.68,2,1,8,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,0,62.4,2,1,8.5,
,OpenAI Simple Prompt,1,1,1,1,0,0,0,0,53.89,2,1,6,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,0,0,54.44,2,1,7.5,
davidmoten-rxjava-jdbc-65230624,Gemini Simple Prompt,1,1,1,1,1,0.5,0,0,48.05,1.5,1,7,
,Gemini Smart Prompt,1,1,1,1,1,1,0,1,45.14,1.5,1,8.5,
,OpenAI Simple Prompt,1,1,1,1,1,0.5,0,1,48.05,1.5,1,8,
,OpenAI Smart Prompt,1,1,1,1,1,0.5,0,0,49.48,1.5,1,7,
UNC-Libraries-Carolina-Digital-Repository-368228275,Gemini Simple Prompt,1,1,1,1,1,0,1,0,47.67,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,0,1,0,-14.05,0,1,6,
,OpenAI Simple Prompt,1,1,1,1,1,0,1,0,52.87,1.5,1,7.5,
,OpenAI Smart Prompt,0,1,1,1,1,0,1,0,46.92,1.5,1,7.5,
alibaba-canal-577332547,Gemini Simple Prompt,1,1,1,1,1,1,1,1,62.97,2,1,10,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,68.22,2,1,10,
,OpenAI Simple Prompt,1,1,1,1,1,0,1,0,52.54,1.5,1,7.5,
,OpenAI Smart Prompt,1,1,1,1,1,0,1,0,52.85,1.5,1,7.5,
